name,time_s
road_flow_07_TX_d,145.191
road_paths_02_DE_a,0.204308
netgen_sr_16e,15.394
goto_8_10d,0.0129089
grid_long_19b,110.63
netgen_deg_03a,0.0191441
grid_square_11b,0.010246
goto_8_11d,0.0311439
grid_square_10b,0.00377798
grid_long_18b,27.3213
netgen_deg_02a,0.0169721
netgen_8_22b,1756.68
netgen_deg_05c,0.044879
netgen_deg_04c,0.0307229
gridgen_deg_02e,0.013483
road_paths_04_NV_c,3.50003
gridgen_deg_03e,0.0194821
vision_rnd_05_bone_subx_n6c100_a,4129.63
netgen_8_14d,0.138892
netgen_8_15d,0.399065
spielman.k100.low0.25.up1.0e-6.i5,43.0425
road_paths_03_NH_b,0.71192
netgen_8_08e,0.00176883
vision_inv_05_bone_subx_n6c100_c,2398.87
netgen_8_09e,0.00435209
goto_sr_10b,0.0356288
goto_sr_11b,0.157472
gridgen_8_13d,0.0426891
gridgen_8_12d,0.0194461
vision_inv_03_bone_subxyz_n6c100_b,74.2409
vision_rnd_04_bone_subxy_n6c100_a,819.053
goto_8_18b,3712.93
gridgen_sr_11b,0.0203109
road_flow_01_DC_d,0.0233302
grid_square_19d,141.306
grid_long_11d,0.0112979
gridgen_sr_10b,0.00813794
goto_8_19b,3445.42
grid_long_10d,0.00508094
grid_square_18d,28.3383
spielman.k200.low0.25.up1.0e-6.i9,2793.59
vision_rnd_01_bone_subxyz_subxy_n6c100_e,4.42435
vision_prop_03_bone_subxyz_n6c100_c,124.846
vision_rnd_03_bone_subxyz_n6c100_c,140.836
road_flow_05_WI_b,8.08073
grid_wide_13e,0.017096
grid_wide_12e,0.00868011
netgen_deg_11d,1.0089
netgen_deg_10d,0.545653
grid_long_09a,0.00130701
grid_long_08a,0.0006392
netgen_deg_12b,1.84589
gridgen_8_19d,38.6815
gridgen_8_18d,14.9242
grid_wide_11c,0.00588298
grid_wide_10c,0.00406504
road_flow_03_NH_b,0.94049
gridgen_deg_08e,0.145356
road_flow_04_NV_c,3.27004
gridgen_deg_09e,0.274541
road_flow_02_DE_a,0.207887
gridgen_sr_13d,0.225835
netgen_deg_09a,0.268738
grid_long_13b,0.0403688
gridgen_sr_12d,0.06054
netgen_deg_08a,0.186829
grid_long_12b,0.0219021
road_paths_07_TX_d,130.582
grid_wide_17a,0.367681
grid_wide_16a,0.15269
goto_8_08a,0.00276899
goto_sr_12d,0.928343
goto_sr_13d,4.15884
goto_8_09a,0.00781107
gridgen_8_11b,0.0115802
gridgen_8_10b,0.00684786
road_paths_05_WI_b,7.08523
grid_wide_19e,2.84907
grid_wide_18e,0.998721
netgen_8_16b,1.32783
netgen_8_17b,4.00983
netgen_8_20d,176.302
netgen_deg_07e,0.100466
netgen_8_21d,523.742
netgen_deg_06e,0.0618582
netgen_sr_12a,0.068042
netgen_sr_13a,0.241693
gridgen_deg_06a,0.0568221
netgen_sr_14c,0.982236
netgen_sr_15c,3.92637
gridgen_deg_07a,0.0899429
goto_8_12b,0.113605
grid_square_13d,0.0366862
road_paths_01_DC_d,0.022553
goto_8_13b,0.320499
grid_square_12d,0.0210249
vision_rnd_02_bone_subxyz_subx_n6c100_a,19.2787
netgen_sr_08b,0.00186801
netgen_sr_09b,0.00598788
vision_inv_01_bone_subxyz_subxy_n6c100_a,3.42648
road_flow_03_NH_c,0.835145
road_flow_06_FL_a,25.395
gridgen_deg_09d,0.242189
gridgen_deg_08d,0.155927
road_flow_04_NV_b,3.06903
grid_long_14a,0.119253
grid_long_15a,0.431693
vision_prop_04_bone_subxy_n6c100_a,620.289
gridgen_8_18e,14.061
gridgen_8_19e,47.1894
netgen_deg_12c,1.71694
grid_wide_10b,0.00335622
grid_wide_11b,0.00733399
grid_long_12c,0.018666
gridgen_sr_12e,0.056088
grid_long_13c,0.038029
gridgen_sr_13e,0.257096
road_paths_07_TX_e,154.838
netgen_8_17c,4.33174
netgen_8_16c,1.4184
netgen_deg_06d,0.0636811
netgen_8_21e,503.764
goto_8_15a,24.9708
netgen_deg_07d,0.104549
netgen_8_20e,156.49
goto_8_14a,1.2083
gridgen_8_10c,0.00658298
gridgen_8_11c,0.010848
goto_sr_13e,4.32262
spielman.k200.low0.25.up1.0e-6.i1,2798.27
goto_sr_12e,0.906629
grid_wide_18d,0.966039
grid_wide_19d,2.79339
road_paths_05_WI_c,11.8697
vision_prop_05_bone_subx_n6c100_a,3107.72
netgen_sr_09c,0.00572014
gridgen_8_16a,0.809166
netgen_sr_08c,0.00264311
gridgen_8_17a,4.21818
grid_square_12e,0.0223479
goto_8_13c,0.298243
grid_square_13e,0.036443
road_paths_01_DC_e,0.029464
goto_8_12c,0.112885
netgen_sr_15b,3.63311
netgen_sr_14b,1.13327
netgen_8_11a,0.010534
netgen_8_10a,0.008461
road_flow_07_TX_e,181.084
grid_square_10c,0.00483012
grid_long_18c,27.519
goto_8_11e,0.029372
grid_long_19c,110.071
grid_square_11c,0.0102489
goto_8_10e,0.015878
netgen_sr_16d,16.6414
gridgen_8_22a,2455.2
netgen_8_09d,0.00482392
vision_inv_05_bone_subx_n6c100_b,2307.82
netgen_8_08d,0.00192618
gridgen_8_12e,0.0192392
gridgen_8_13e,0.0419109
goto_sr_11c,0.154901
goto_sr_10c,0.033962
gridgen_deg_03d,0.019279
road_paths_04_NV_b,3.16641
gridgen_deg_02d,0.012372
netgen_deg_04b,0.0249782
grid_square_16a,1.41399
grid_square_17a,6.33116
netgen_deg_05b,0.0414772
netgen_8_22c,1875.8
road_paths_03_NH_c,0.826943
spielman.k100.low0.25.up1.0e-6.i4,43.2471
netgen_8_15e,0.43912
netgen_8_14e,0.143202
road_paths_06_FL_a,22.8496
grid_long_10e,0.00235605
grid_square_18e,29.7299
gridgen_sr_10c,0.00830388
goto_8_19c,3810.44
grid_square_19e,122.232
grid_long_11e,0.0103369
goto_8_18c,3757.04
road_flow_01_DC_e,0.0330999
gridgen_sr_11c,0.0192509
vision_inv_03_bone_subxyz_n6c100_c,75.9839
gridgen_deg_11a,0.908477
gridgen_deg_10a,0.498338
grid_wide_12d,0.0125301
grid_wide_13d,0.015306
road_flow_05_WI_c,12.5731
vision_rnd_03_bone_subxyz_n6c100_b,136.381
netgen_deg_10e,0.581477
netgen_deg_11e,1.00466
vision_prop_03_bone_subxyz_n6c100_b,122.099
vision_rnd_01_bone_subxyz_subxy_n6c100_d,4.80742
gridgen_sr_16a,11.1651
spielman.k200.low0.25.up1.0e-6.i8,2793.68
grid_long_20a,460.052
gridgen_deg_12e,1.67291
grid_wide_20d,9.70712
grid_wide_17b,0.37735
grid_wide_16b,0.154001
netgen_8_18e,15.9295
netgen_8_19e,52.7059
vision_prop_01_bone_subxyz_subxy_n6c100_e,5.39718
road_flow_02_DE_b,0.181831
netgen_deg_09b,0.288167
grid_long_13a,0.0361869
netgen_deg_08b,0.166819
grid_long_12a,0.0190949
grid_long_15c,0.451989
gridgen_sr_15e,3.02269
grid_long_14c,0.113024
gridgen_sr_14e,0.764541
vision_prop_02_bone_subxyz_subx_n6c100_e,20.1356
road_flow_06_FL_c,25.4852
road_flow_03_NH_a,0.971454
gridgen_sr_09d,0.00554705
grid_long_09b,0.00167322
gridgen_sr_08d,0.00279403
grid_long_08b,0.000601053
netgen_deg_12a,1.87208
vision_prop_04_bone_subxy_n6c100_c,613.858
netgen_sr_08a,0.00255299
gridgen_8_17c,3.5448
netgen_sr_09a,0.005615
gridgen_8_16c,1.02458
goto_sr_14e,26.1684
goto_sr_15e,246.112
vision_inv_01_bone_subxyz_subxy_n6c100_b,3.54564
gridgen_8_21e,705.037
vision_rnd_02_bone_subxyz_subx_n6c100_b,18.0622
vision_prop_05_bone_subx_n6c100_c,2385.92
gridgen_8_20e,162.718
netgen_8_10c,0.00672102
netgen_8_11c,0.014308
gridgen_deg_06b,0.0664458
gridgen_deg_07b,0.093508
netgen_deg_01d,0.018518
goto_sr_08d,0.00655794
goto_8_12a,0.113755
goto_8_13a,0.327968
goto_sr_09d,0.0118082
grid_square_15e,0.901664
goto_8_14c,1.19551
grid_square_14e,0.105569
goto_8_15c,25.1034
netgen_sr_12b,0.0581989
netgen_sr_13b,0.216106
netgen_8_16a,1.18159
netgen_8_17a,4.50924
road_paths_05_WI_a,14.0269
goto_8_08b,0.00259805
grid_square_09d,0.00184894
goto_8_09b,0.00752902
grid_square_08d,0.000596046
spielman.k200.low0.25.up1.0e-6.i3,2788.55
gridgen_8_11a,0.0111849
gridgen_8_10a,0.0077908
goto_sr_10a,0.0362921
goto_sr_11a,0.154645
spielman.k300.low0.25.up1.0e-6.i9,50013.5
vision_inv_02_bone_subxyz_subx_n6c100_d,14.3578
road_paths_06_FL_c,28.6172
goto_8_20c,14177.4
grid_square_20e,674.05
spielman.k100.low0.25.up1.0e-6.i6,43.0262
road_paths_03_NH_a,0.878357
grid_square_17c,6.1845
goto_8_16e,45.1269
netgen_8_22a,1889.87
grid_square_16c,1.37732
goto_8_17e,165.549
netgen_sr_10d,0.00878596
vision_rnd_05_bone_subx_n6c100_b,4218.21
netgen_sr_11d,0.0182889
gridgen_8_09d,0.00394392
gridgen_deg_04d,0.027451
road_paths_02_DE_b,0.184663
gridgen_8_08d,0.00179195
gridgen_deg_05d,0.0370789
grid_square_11a,0.0109768
grid_long_19a,109.946
netgen_deg_03b,0.022011
grid_long_18a,27.4142
