it,sol,rhsl1,rhsl2,rhslinf,dyl1,dyl2,dylinf,relerr
1,1,1.633063e+08,1.238737e+07,8.813377e+06,2.129788e+08,1.101473e+06,1.385075e+04,3.669554e-08
1,2,1.633063e+08,1.238737e+07,8.813377e+06,2.129788e+08,1.101473e+06,1.385075e+04,3.669554e-08
1,3,1.626882e+08,1.234045e+07,8.779998e+06,2.121672e+08,1.097277e+06,1.379807e+04,3.669555e-08
1,4,1.154939e+03,6.613319e+01,4.667686e+01,5.346942e+03,2.564595e+01,2.782555e-01,2.256705e-08
2,1,2.415172e+07,1.788355e+06,1.277515e+06,3.469660e+08,1.789737e+06,2.055722e+04,4.299938e-08
2,2,3.663069e+06,2.711380e+05,1.936882e+05,5.263298e+07,2.714913e+05,3.118291e+03,4.301397e-08
2,3,3.492548e+06,2.585319e+05,1.846842e+05,5.015928e+07,2.587576e+05,2.972438e+03,4.300673e-08
2,4,8.104156e+02,1.157508e+02,8.247751e+01,4.351796e+03,2.548223e+01,1.614538e+00,2.676140e-08
3,1,1.935892e+07,3.489645e+06,2.495828e+06,1.573410e+09,7.162577e+06,5.137453e+04,2.388279e-08
3,2,1.396549e+06,2.517315e+05,1.800410e+05,1.136947e+08,5.175430e+05,3.711155e+03,2.390887e-08
3,3,1.347602e+06,2.429557e+05,1.737640e+05,1.097183e+08,4.994399e+05,3.581388e+03,2.390622e-08
3,4,1.574693e+02,2.571105e+00,1.438856e+00,4.148171e+03,2.041850e+01,9.826662e-01,4.701655e-08
4,1,2.697025e+07,4.732478e+06,3.394044e+06,2.246835e+09,1.000000e+07,6.621469e+04,2.469579e-08
4,2,8.151558e+05,1.430649e+05,1.026030e+05,6.814576e+07,3.032705e+05,2.007078e+03,2.480408e-08
4,3,7.617137e+05,1.337940e+05,9.595373e+04,6.365982e+07,2.833305e+05,1.875559e+03,2.480395e-08
4,4,1.693292e+02,2.925771e+00,9.669624e-01,5.440715e+03,4.491834e+01,7.390780e+00,2.187652e-08
5,1,3.493341e+07,5.688400e+06,4.090795e+06,2.175582e+09,9.705134e+06,6.466232e+04,2.449997e-08
